SITE,PLOT,COL,ROW,TAG,STEM,DBH24,HT21,HT23,HT24,HTLC24,COMMENT
    Buck,27,28,27,4856,b  ,130,960,1120,1190,370,                         
    Buck,27,28,28,1111,   ,268,1390,     ,1620,390,                         
    Buck,27,28,29,5220,   ,170,1070,1290,1390,480,                         
    Buck,27,29,26,1167,   ,300,1260,1510,1620,350,                         
    Buck,27,29,27,211,   ,259,1190,1410,1500,450,                         
    Buck,27,29,28,1237,   ,210,1010,1200,1300,570,                         
    Buck,27,29,29,5722,   ,259,1320,1470,1600,470,                         
    Buck,27,30,26,16,   ,218,1100,1290,1400,390,                         
    Buck,27,30,27,63,   ,200,1120,1230,1310,490,                         
    Buck,27,30,28,773,   ,272,1320,1440,1560,490,                         
    Buck,27,30,29,5781,   ,260,1240,1430,1530,540,                         
    Buck,30,26,38,1768,   ,272,1480,1620,1770,530,                         
    Buck,30,26,39,4801,   ,214,1250,1460,1580,590,                         
    Buck,30,26,40,4837,   ,293,1490,1750,1860,580,                         
    Buck,30,26,41,9345,   ,253,1280,1540,1650,650,                         
    Buck,30,27,38,7435,   ,226,1380,1540,1670,500,                         
    Buck,30,27,39,2802,   ,226,1500,     ,1730,630,                         
    Buck,30,27,40,9333,   ,218,1270,1470,1580,690,                         
    Buck,30,27,41,6540,   ,230,1350,1580,1700,660,                         
    Buck,30,28,38,4482,   ,296,1500,1630,1740,370,                         
    Buck,30,28,39,1785,   ,239,1300,1570,1650,640,                         
    Buck,30,28,40,9044,   ,233,1440,1560,1700,600,                         
    Buck,30,28,41,9348,   ,220,1220,1400,1500,670,                         
    Buck,30,29,38,2619,   ,193,1240,1440,1540,580,                         
    Buck,30,29,39,2675,   ,245,1390,1620,1740,680,                         
    Buck,30,29,40,7362,   ,246,1380,1560,1680,570,                         
    Buck,30,29,41,6556,   ,198,1140,     ,1470,580,                         
    Buck,30,30,38,4806,   ,236,1300,1500,1600,460,                         
    Buck,30,30,39,2749,a  ,196,1430,1600,1720,610,                         
    Buck,30,30,39,2749,b  ,187,1190,     ,1520,650,                         
    Buck,30,30,40,7386,   ,238,1350,1590,1680,650,                         
    Buck,30,30,41,7475,   ,241,1400,1610,1700,570,                         
    Buck,31,31,38,2823,   ,175,1180,1370,1460,450,                         
    Buck,31,31,39,3155,   ,215,1130,1300,1430,580,                         
    Buck,31,31,40,7566,   ,206,1300,1390,1510,490,                         
    Buck,31,31,41,7671,   ,285,1360,1530,1650,400,                         
    Buck,31,32,38,2880,   ,184,970,1150,1260,350,                         
    Buck,31,32,39,3051,   ,226,1080,1240,1350,370,                         
    Buck,31,32,40,7653,   ,152,1100,1290,1390,440,                         
    Buck,31,32,41,7795,   ,170,1040,1190,1290,380,                         
    Buck,31,33,38,2985,   ,190,1150,1330,1450,380,                         
    Buck,31,33,39,3210,   ,190,1160,1350,1460,450,                         
    Buck,31,33,40,2929,   ,130,900,1020,1130,390,                         
    Buck,31,33,41,7854,   ,286,1170,1390,1530,300,                         
    Buck,31,34,38,2972,   ,260,1270,1420,1530,480,                         
    Buck,31,34,39,3094,   ,202,1150,1310,1430,360,                         
